,id,open,high,low,volume,market_cap,social_score,average_sentiment,price_score,social_impact_score,correlation_rank,volatility,percent_change_24h,market_cap_global,close
27,ID_32KttD,6727.699837,6734.020597,6727.699837,1331969078.0,123022080465.0,6872556.0,3.6,2.9,4.3,3.6,0.01916006,-2.0277319261739697,192303621411.0,6734.020597
29,ID_32LRBr,7552.864821,7552.864821,7547.542521,1408204053.0,138228221066.0,9967043.0,3.8,2.6,4.1,3.8,0.02774003,7.035468184895202,217628690562.0,7547.542521
30,ID_32LeQ9,8620.3606,8660.796276,8620.3606,1322200969.0,158172585671.0,13080792.0,3.7,2.6,3.7,2.9,0.0110509,0.9870264199812973,246089939148.0,8660.796276
31,ID_32Lojy,9295.273403,9296.249132,9295.273403,646671357.0,170898273718.0,16009755.0,3.6,3.1,3.8,3.3,0.00435996,0.3766170867663687,277486723465.0,9296.249132
33,ID_32MRhk,59283.686345,59283.686345,59089.859026,3077030117.0,1106274824390.0,93809299.0,3.6,2.9,4.2,3.6,0.00725638,0.806676116973727,2031669178314.0,59089.859026
34,ID_32MgQC,10273.432841,10273.432841,10214.246032,485027257.0,183347500764.43,9464981.0,3.7,3.6,1.9,3.0,0.0083108,-0.0403365595443003,271513243139.05,10214.246032
35,ID_32Mhye,7340.785224,7340.785224,7340.092611,1585831350.0,134546405524.0,16660826.0,3.8,2.9,3.6,3.3,0.02614265,3.533164383022936,208841461879.0,7340.092611
38,ID_32PY3G,9089.242708,9117.359254,9089.242708,778684147.0,167594002874.0,22105103.0,3.7,4.0,3.0,2.9,0.00587622,-0.7216300535946342,263801769803.0,9117.359254
39,ID_32PuNM,11737.011728,11737.127339,11710.272621,1407780994.0,216361052192.0,14273966.0,3.5,3.0,4.2,4.6,0.01829018,4.99092147930739,364425574365.0,11737.127339
41,ID_32QmjZ,11705.341198,11744.18894,11705.341198,782501956.0,216832843012.0,10269587.0,3.7,2.9,4.4,3.2,0.00602859,0.897515457279895,366474613526.0,11744.18894
47,ID_32U7nS,7508.85977,7515.629842,7501.984732,339268250.0,135951237247.0,6367733.0,3.7,3.2,3.7,3.2,0.00510037,1.001201733781007,202568813737.0,7501.984732
49,ID_32VmP7,8595.308361,8595.308361,8563.670143,502676558.0,156497680318.0,11030552.0,3.6,5.0,3.6,3.5,0.01029182,-0.4931075943173642,232238976701.0,8590.133661
50,ID_32W99L,9567.525456,9567.525456,9562.679111,916296493.0,175557774135.0,14192865.0,3.8,3.5,4.3,3.1,0.01673283,4.850277713601062,271414678927.0,9562.679111
51,ID_32WRjB,56683.499491,57645.062638,56683.499491,3384586557.0,1070991683737.0,32634140.0,3.6,2.8,3.5,3.5,0.01569313,-3.146676619844371,1827170120397.0,57439.431332
53,ID_32XNyn,59336.591531,59336.591531,59104.574231,2899151404.0,1103463531313.0,50565298.0,3.6,3.1,3.4,3.0,0.0064118,-0.3608554018625601,1981025530083.0,59104.574231
54,ID_32Y6rw,15186.860003,15264.263643,15186.860003,1217364771.0,283395263181.0,17922177.0,3.6,3.2,3.7,3.5,0.01907558,-1.6028113161563031,448580731771.0,15264.263643
55,ID_32YtR9,8708.146122,8730.744487,8705.772443,1681412608.0,159783229739.0,25575967.0,3.7,2.9,3.0,2.7,0.04969049,0.8064887275313933,242166769164.0,8710.046852
56,ID_32axEE,13728.907238,13733.432828,13685.537184,1057351103.0,253680351145.0,14693228.0,3.6,4.0,4.1,4.1,0.00954674,1.3127961806816313,403397062237.0,13692.852498
58,ID_32bgVu,11353.216756,11353.216756,11347.419886,498637957.0,210121019776.0,7923592.0,3.4,3.3,4.0,3.2,0.01121836,-0.1978308790211869,362776613603.0,11347.419886
60,ID_32cqYZ,51525.369003,51657.992225,51190.915832,3044340621.0,956959218989.0,89185944.0,3.7,3.1,3.7,3.4,0.01780283,4.572931647805767,1564528304112.0,51318.43505
65,ID_32fMob,56326.124058,56370.176629,56156.873736,2570486462.0,1046851437323.0,35746427.0,3.6,1.6,3.0,3.8,0.01077608,0.412276220059508,1804209343228.0,56298.506183
66,ID_32gAnV,56586.112375,57084.573279,56586.112375,4448055470.0,1056416356024.0,31760279.0,3.8,2.3,3.3,3.1,0.02211765,1.7884951842543733,1813578772251.0,56773.316879
69,ID_32gphc,9147.136914,9152.488709,9140.523893,793392538.0,164943889151.28,5108025.0,3.7,2.8,3.4,4.3,0.10255292,-4.373354561485925,241128721359.0,9145.45257
70,ID_32hDc7,7173.907934,7178.210256,7173.907934,687979650.0,130019598669.0,6269250.0,3.6,2.7,3.0,3.9,0.00534316,0.8510071392788473,191554870328.0,7178.210256
72,ID_32iA98,7354.334262,7358.39159,7353.728323,390307818.0,133252996590.0,11749172.0,3.6,3.0,4.0,3.1,0.0092758,-1.803327257781952,198703180515.0,7353.728323
73,ID_32iie8,9026.303887,9040.560864,9026.303887,1289762200.0,164966926040.0,16902206.0,3.7,2.9,4.1,3.5,0.01108364,2.901979109335397,257452397796.0,9040.560864
76,ID_32oM3y,11471.42841,11471.42841,11465.806292,680337129.0,211869542265.0,11858021.0,3.7,5.0,4.2,2.8,0.00652209,0.3366050689375034,372232541894.0,11465.806292
77,ID_32ocLe,10749.740361,10760.97616,10749.740361,716223865.0,198908686433.0,12988935.0,3.5,2.8,3.7,3.7,0.0073404,-0.924000041737405,347382985093.0,10760.97616
80,ID_32q8ay,11622.16032,11622.16032,11621.131337,786540073.0,214578359391.0,5866691.0,3.7,3.2,3.0,3.2,0.00406194,0.9011197519128537,378334452001.0,11621.131337
82,ID_32tpob,55614.258766,56276.540681,55530.370409,2947368068.0,1044376948513.0,34116064.0,3.6,2.6,4.1,3.9,0.01837732,2.528088947851371,1750351220906.0,56276.540681
83,ID_32u4XT,55369.417415,55705.251863,55341.06369,2742797663.0,1031936664679.0,74917309.0,3.9,2.7,3.6,3.4,0.03438755,6.031786184835108,1743631710741.0,55360.492778
84,ID_32uWne,11427.635254,11427.635254,11425.227262,762831756.0,211589659705.0,19775421.0,3.7,1.9,3.6,3.3,0.00391008,-0.926410366711994,364604622132.0,11425.227262
85,ID_32uxma,9694.070608,9739.643044,9694.070608,710439860.0,176963701322.0,12288261.0,3.8,2.9,3.0,3.9,0.0161581,1.574384170175969,274604584584.0,9739.643044
90,ID_32wigb,7330.879724,7333.785772,7330.879724,1108468932.0,134096767044.0,5702720.0,3.5,3.0,4.2,2.5,0.00925788,0.1063355944007988,209706032154.0,7333.785772
92,ID_32yXUj,9245.849797,9245.849797,9223.069186,621612656.0,169200256107.0,24948437.0,3.8,1.9,3.0,2.6,0.00681513,-1.3083977772248765,265652424908.0,9223.069186
93,ID_32ydz5,7179.495028,7179.495028,7176.318185,609922939.0,129844688911.0,19670893.0,3.6,3.2,3.0,3.5,0.00305406,0.1005151664429105,191249584798.0,7176.318185
94,ID_32zLuU,8733.246953,8742.437443,8693.022149,1775236244.0,159970803173.0,12450139.0,3.6,2.7,3.7,2.6,0.05291223,0.6944362600775512,242264485082.0,8711.053516
95,ID_32zaLY,10307.840657,10369.500323,10307.840657,488278019.0,186034516026.26,7573457.0,3.7,1.4,4.0,2.0,0.01003103,-0.5920971775198741,264720049758.71,10369.500323
97,ID_335AFy,37784.831456,38210.914022,37783.551492,1896240421.0,706505666853.0,47177826.0,3.6,1.0,3.8,3.5,0.01052745,3.420100309178405,1203046063283.0,38210.914022
98,ID_335Hss,45050.112124,45479.026735,45050.112124,2568066724.0,844472935598.0,64354640.0,3.6,1.9,4.1,2.4,0.02825228,-3.434048414780392,1421172619078.0,45312.193189
99,ID_335MMW,53467.044033,54069.590836,53467.044033,2677611721.0,1004983571221.0,39961473.0,3.7,3.3,4.3,3.9,0.02090848,6.415068141456428,1704247698742.0,54008.423303
100,ID_336sqy,10726.94047,10726.94047,10719.092941,719722339.0,198296954378.0,13317058.0,3.6,2.9,4.2,3.5,0.00765775,-1.212334660940246,345862363922.0,10721.983352
102,ID_337bAs,7483.505629,7505.19009,7466.045595,640115951.0,134990127567.61,23805.0,3.0,3.6,3.0,3.6,0.02427014,-8.887013922559255,203904044310.0,7485.027074
103,ID_337d5p,6202.66476,6210.439766,6096.317931,1886517630.0,112502349944.0,8549245.0,3.7,2.9,4.0,4.4,0.07201406,14.19272591257241,174212332247.0,6166.236319
105,ID_338npH,18291.041878,18363.121638,18291.041878,1182344250.0,340286570457.0,53811038.0,3.7,2.6,4.0,3.3,0.009726,-0.6780101358141396,554132403507.0,18363.121638
106,ID_339Dv9,56599.713688,56695.057094,56240.283945,3073686681.0,1054622812994.0,191662418.0,3.7,5.0,3.4,4.8,0.01265222,2.78163273734124,1805278549857.0,56615.109334
109,ID_339rdJ,52738.98993,52862.06719,51941.346872,3225670023.0,980905519615.0,46769234.0,3.7,3.2,4.0,3.3,0.02116278,-5.017852274996654,1644603492895.0,52009.28248
111,ID_33ACLY,8020.445997,8021.954245,8020.445997,414437685.0,145755605897.0,7429576.0,3.7,5.0,3.0,3.3,0.0129146,-1.6230661876834906,214042813573.0,8021.954245
112,ID_33B8Qo,35898.165557,36364.949545,35898.165557,2065637308.0,674013315859.0,24496187.0,3.6,3.4,3.0,3.6,0.02626016,8.712921861509844,1109997553220.0,36364.949545
113,ID_33BXfW,50547.391106,50723.197698,50420.736787,2135414093.0,943222270770.0,51034468.0,3.7,3.2,3.0,2.5,0.02557408,0.8788620931089853,1558545818634.0,50650.905912
114,ID_33CDKF,8737.810411,8737.810411,8699.557662,1234353301.0,158177431539.0,5782919.0,3.6,2.5,3.0,2.3,0.0086713,-0.5878070138908011,248119632322.0,8699.557662
115,ID_33CmF9,8865.762275,8895.287685,8865.762275,2617178811.0,161946650921.0,11640643.0,3.7,2.9,4.3,4.4,0.01739226,3.207664531520709,253508369044.0,8895.287685
118,ID_33D9aY,18537.780917,18542.056109,18534.234534,765673727.0,344131847870.0,23304711.0,3.7,3.1,4.2,3.0,0.01696479,4.394762947426373,560388604847.0,18534.234534
119,ID_33DVcb,7989.102713,7995.739079,7989.102713,1222044299.0,145353016911.0,8656456.0,3.7,3.0,3.0,3.1,0.01388141,0.1804305216747446,226742174427.0,7995.049846
121,ID_33EAh4,16294.308935,16335.102901,16294.308935,932261929.0,301907160341.0,31744785.0,3.6,3.1,3.0,3.0,0.00761266,2.091119636925096,473884371743.0,16335.102901
124,ID_33FURy,7209.179575,7209.179575,7196.117519,719763825.0,130466359887.0,10400907.0,3.7,1.0,4.0,4.0,0.00664549,0.06704098579484,190508525039.0,7196.117519
126,ID_33GyYQ,9238.537208,9242.96079,9225.063821,2223480342.0,169338291388.0,17806533.0,3.8,3.1,3.3,4.1,0.01291389,3.909976940508211,257628313839.0,9239.542629
129,ID_33MQQS,10233.996046,10233.996046,10172.443726,1050775831.0,185769957528.0,15312761.0,3.6,3.0,3.7,2.6,0.0066122,-1.2936372983528477,298909741001.0,10172.443726
132,ID_33PrQo,9378.321467,9378.321467,9292.133972,795506501.0,168786612849.84,13556639.0,3.8,2.5,4.1,3.1,0.01007509,0.4662673609238514,252695934723.0,9356.757818
133,ID_33Qiaz,7086.399611,7184.949755,7084.395968,514670102.0,129300684840.0,9664468.0,3.6,5.0,3.7,3.4,0.0125473,-1.3821420783646794,193215514474.0,7137.820377
136,ID_33RupB,9173.592086,9185.09264,9173.157976,804384617.0,165487843952.2,5657897.0,3.7,2.9,3.7,5.0,0.10246589,-4.596904927029429,242297974112.0,9185.09264
137,ID_33TSFM,47848.277775,48352.780436,47540.857945,3071732358.0,899865142939.0,44953050.0,3.7,3.0,4.1,4.3,0.02374115,-0.7632532037646436,1516742414993.0,48236.563455
138,ID_33Txzp,47698.871373,47853.847241,47345.302824,2439320718.0,886706047572.0,71557272.0,3.6,3.0,4.3,3.3,0.03828355,-4.794390860923723,1478361763029.0,47375.174771
139,ID_33Utej,10737.376584,10737.376584,10717.392666,770139577.0,197968331533.0,15019215.0,3.6,3.0,4.2,4.5,0.01422642,3.93804322534317,350589946832.0,10717.392666
140,ID_33VtBd,7265.115177,7265.115177,7227.001559,591159232.0,130512182480.0,23384261.0,3.7,2.8,4.0,2.6,0.02957021,-4.484527782801575,197060892711.0,7227.001559
141,ID_33WoKT,56447.726065,57537.662745,56409.858476,5313016998.0,1068844042983.0,90286397.0,3.9,1.0,3.7,3.3,0.03578503,8.99347361334068,1794710030517.0,57312.772263
143,ID_33XuMU,8477.944324,8477.944324,8461.469132,595462818.0,152850893315.0,14733721.0,3.6,3.3,3.6,2.3,0.0079474,-2.184613641072069,231209497596.0,8461.469132
144,ID_33XxEn,50430.695398,51554.38711,50152.641606,3550007174.0,954682061963.0,58742590.0,3.6,3.9,3.0,3.2,0.01647743,1.3171954783038644,1589740164308.0,51554.38711
145,ID_33YCvr,7222.625077,7227.183302,7222.625077,1373073118.0,132585026484.0,8215698.0,3.7,2.9,3.0,4.1,0.01011227,2.039739746884355,209880515722.0,7227.183302
146,ID_33Ya2q,11553.360002,11564.84736,11553.360002,672727489.0,213412008625.0,7963583.0,3.6,3.1,3.0,2.8,0.00968959,-2.2747372186489767,355644047860.0,11564.84736
150,ID_33azBK,9661.282166,9663.405463,9654.558077,941278118.0,177507392529.0,11166058.0,3.7,3.2,3.0,3.3,0.01953486,1.4716823843857647,275744549596.0,9654.558077
151,ID_33bQuh,18069.479276,18072.619901,17995.548474,1725847562.0,334053495238.0,46339265.0,3.5,3.3,3.0,3.8,0.01110355,1.1415324669234517,509837650815.0,18023.240462
152,ID_33bbyZ,8128.022702,8131.367291,8097.084691,460602830.0,147644850320.0,14282135.0,3.7,3.0,3.7,4.8,0.01472543,4.055552856099092,216476072793.0,8123.535203
153,ID_33dXPg,6157.412574,6157.412574,6149.51704,1024840001.0,112539370242.0,8326806.0,3.6,3.0,3.7,3.1,0.00994629,-1.4465266920326454,173746173432.0,6149.51704
155,ID_33eDfE,9147.763651,9147.763651,9119.780921,1126618397.0,165510794215.0,13497180.0,3.6,3.2,4.0,3.3,0.00835225,-0.1907657803552092,260727016357.0,9119.780921
156,ID_33fCbM,7046.293059,7078.452635,7046.293059,2278951096.0,129668970870.0,16886092.0,3.6,4.3,3.6,3.4,0.00700071,3.166447040699929,205251873528.0,7069.063013
161,ID_33hE4k,7393.108245,7452.692478,7393.108245,550530851.0,133949154244.63,6521521.0,3.8,2.6,3.0,2.4,0.03944449,-6.70910922939993,203408077960.0,7442.78671
163,ID_33ixr6,39101.623809,39410.027594,39006.597892,1895515439.0,730691922194.0,43713883.0,3.6,3.3,3.4,3.1,0.01923058,0.6328970118439831,1232845653583.0,39332.479246
164,ID_33kX6d,8293.817838,8317.398476,8293.817838,508123617.0,149112672258.86,4904842.0,3.7,2.4,2.9,4.8,0.02221425,5.17262453461986,226182336770.42,8301.042782
165,ID_33m8u8,9877.732665,9979.478043,9877.723959,7708838177.0,181415713651.0,8396597.0,3.7,2.3,3.7,2.1,0.01602704,0.4831911467419067,287595030724.0,9954.728563
166,ID_33mwE2,10581.465886,10581.465886,10559.825462,571952396.0,195281556932.0,27676716.0,3.5,2.5,3.0,3.2,0.0047435,0.820018335996813,340498323867.0,10559.825462
167,ID_33n7wr,8858.99398,8880.978237,8858.99398,1447815017.0,162744440495.0,7715925.0,3.6,3.1,4.2,2.4,0.00665139,-0.535450587175263,250284613168.0,8880.978237
168,ID_33njsm,34838.217291,34858.970593,34807.676348,2107099149.0,648509435999.0,58701702.0,3.6,3.0,4.2,3.4,0.01695105,2.6830386200808256,1066058180504.0,34853.807406
169,ID_33nns7,47298.732921,47525.37486,47225.974491,1808875339.0,885093565392.0,52571552.0,3.6,2.5,3.0,2.2,0.01506075,0.9735510824811936,1496986811979.0,47503.275655
170,ID_33nwro,13008.530274,13008.530274,13002.543902,750864979.0,240467424578.0,7420008.0,3.7,2.3,3.0,2.8,0.00590019,0.0225838269815192,400108774112.0,13002.543902
172,ID_33qveP,51245.462065,51574.8483,51245.462065,2538523347.0,959760733680.0,69689998.0,3.6,2.8,3.0,2.5,0.00711361,-1.2880841688940647,1610064190712.0,51555.423036
173,ID_33r78Y,9286.030926,9421.511078,9286.030926,2206428298.0,173215547560.0,22703558.0,3.6,5.0,3.9,3.3,0.0174311,2.9665685308900223,262418824856.0,9421.511078
174,ID_33ri9M,10482.901014,10483.502671,10482.901014,718446428.0,194157738648.0,10492475.0,3.5,2.6,4.0,2.7,0.01391708,-1.1119360088102832,336361578240.0,10483.502671
176,ID_33t9i5,6292.019331,6308.011601,6292.019331,1313601306.0,115831542389.0,4980405.0,3.6,2.9,4.3,3.4,0.03122405,-5.848992935755757,176581484944.0,6302.851583
177,ID_33u74G,8782.099213,8782.099213,8770.875788,486955151.0,158452506502.0,7225041.0,3.7,4.1,3.3,1.9,0.01660241,-0.5971570337834395,238749566089.0,8770.875788
178,ID_33uJts,7124.944619,7140.316578,7124.944619,588303609.0,129601674871.0,7290645.0,3.6,2.8,4.3,3.7,0.00590443,-0.5990354323633189,190792206886.0,7140.316578
180,ID_33vGZH,9042.939074,9074.149184,9012.505325,2265009641.0,165757155778.0,10862635.0,3.7,4.1,4.4,4.0,0.01152076,4.568617853197517,253553278271.0,9022.459785
181,ID_33vPNC,8845.168735,8853.182716,8843.800905,1363610935.0,162440988704.0,13918819.0,3.7,2.8,4.2,2.7,0.00760209,-0.6924170079082705,249362958853.0,8848.63058
182,ID_33vgxa,7194.62188,7218.630174,7194.62188,695201084.0,131043933028.0,10055474.0,3.6,2.6,4.0,3.4,0.00857909,-2.473440336056103,191050544587.0,7218.630174
184,ID_33vwdt,11373.066616,11375.273943,11372.170934,706536744.0,210399093413.0,19839924.0,3.7,5.0,3.5,3.6,0.00748096,0.2526418366295086,364004982201.0,11375.273943
187,ID_33zVhs,9276.441614,9276.441614,9270.801083,576845525.0,171039607984.0,8497029.0,3.6,2.9,3.7,2.2,0.00394822,0.6479534770290358,277985903448.0,9270.801083
188,ID_33zbqG,8593.671637,8607.031501,8572.031473,481701078.0,154073765196.01,4620456.0,3.7,2.8,2.7,2.3,0.00377318,0.162657166780564,232720433726.74,8577.662237
189,ID_342pVW,53390.111784,53533.797505,52693.375942,2347695251.0,986313737370.0,42825533.0,3.7,3.0,4.1,3.2,0.02607452,-5.402740266909987,1672682930953.0,52721.256097
190,ID_3436ZX,11748.202936,11751.803139,11748.202936,774286807.0,216895542868.0,17697701.0,3.7,3.2,3.7,3.8,0.00893164,-0.1211368431060469,361298863891.0,11751.803139
191,ID_343fwn,11096.59322,11096.59322,11072.473377,952907936.0,204168171418.0,10717522.0,3.6,3.6,3.6,3.0,0.02607403,-6.309877843204709,340771061318.0,11072.473377
192,ID_343oAM,9021.410933,9063.410153,9021.410933,1134338383.0,166590373137.0,13601826.0,3.7,2.9,4.3,2.5,0.01055885,-1.995290350245488,254282742786.0,9061.590861
193,ID_343rhw,9727.877514,9738.800513,9727.877514,660743666.0,176730546612.0,15135114.0,3.7,3.0,4.3,4.1,0.01946681,0.8587186016012497,273933394303.0,9738.800513
194,ID_3445Df,8783.107856,8813.400955,8760.656563,663509049.0,158978229127.0,5839934.0,3.7,3.0,4.1,2.2,0.01983608,-4.277449984092218,239649841246.0,8813.400955
196,ID_344Ka8,56414.420338,56840.490905,56206.915333,2880890118.0,1055526055413.0,48691313.0,3.8,2.5,3.3,3.0,0.01270331,2.517868680449917,1759622120952.0,56754.397287
197,ID_344VCs,7231.036708,7234.821749,7231.036708,717860137.0,131144295666.0,7495913.0,3.6,3.0,3.0,2.7,0.0148933,-0.9154826527683736,191924642492.0,7234.821749
200,ID_3473oT,6898.227479,6900.455381,6898.227479,1113008359.0,126106277602.0,8736728.0,3.7,3.0,4.1,2.9,0.02200426,-0.4525329442181451,197110577626.0,6900.455381
201,ID_347PED,10178.170373,10195.879129,10178.170373,1392429937.0,186511541115.0,10633876.0,3.8,2.8,4.1,3.0,0.00774731,-1.3014122584269932,299955159863.0,10195.879129
202,ID_347Vxn,9091.893259,9091.893259,9079.100209,1358983066.0,165829260935.0,14068089.0,3.6,3.1,3.7,3.4,0.01041414,3.1973032738802427,259109741465.0,9079.100209
204,ID_34AFXy,6707.975307,6707.975307,6692.305148,1340843628.0,121837709776.0,8628499.0,3.7,2.4,4.0,3.1,0.01025052,-1.2699406217701354,184928239134.0,6695.793564
207,ID_34AjK6,6590.587473,6620.846638,6500.440694,2549225304.0,120114244089.0,13630994.0,3.6,5.0,4.1,3.5,0.01818074,-2.8379234295372773,181214918436.0,6543.550295
209,ID_34BHj9,33488.540647,33540.266401,33488.540647,1948583402.0,624234899593.0,42364038.0,3.7,2.9,4.3,2.5,0.01418338,-0.1867704363193996,1021701853667.0,33532.910692
210,ID_34Bsub,10307.36534,10307.36534,10271.072514,863023653.0,190126818118.0,14825101.0,3.8,3.0,4.2,3.1,0.00533702,-0.7245464354580524,335424089905.0,10271.072514
216,ID_34FZ8Q,9178.372114,9183.631096,9178.372114,504297348.0,168385427594.0,14490722.0,3.7,3.1,3.0,3.7,0.00361308,0.4994605356579863,265743938183.0,9183.631096
217,ID_34GmMK,9435.937711,9435.937711,9383.385448,745726501.0,169413385349.56,10385701.0,3.8,3.0,4.0,4.9,0.00863957,1.828465529582692,251599313027.0,9388.74286
218,ID_34HXJo,8842.80286,8879.475804,8842.80286,1521907275.0,162731246534.0,15730576.0,3.6,3.4,4.3,3.3,0.01686337,-0.0332264701955546,248988205217.0,8879.475804
221,ID_34Jxk4,8175.598419,8176.080474,8175.598419,346167733.0,147053700307.3,3677587.0,3.7,2.8,3.1,3.9,0.00853284,-1.949679100784325,222697852761.35,8175.763579
222,ID_34Jz6a,61006.475182,61118.341839,60684.458101,2139542298.0,1137441849222.0,75472827.0,3.6,3.0,4.0,4.5,0.02578053,5.82199836658928,1874858417187.0,60946.775332
223,ID_34Mdwt,7925.218493,7925.218493,7901.387094,1353695688.0,144648460442.0,10830898.0,3.6,3.0,4.1,2.5,0.03739969,-1.962855433330644,223474113652.0,7901.387094
225,ID_34N7s7,9404.616849,9405.06268,9398.586095,718112765.0,172504952700.0,11828587.0,3.7,2.5,4.2,2.7,0.00450016,1.100439029208054,268211828971.0,9405.06268
226,ID_34NSv4,8958.265102,8993.216517,8936.497375,545227168.0,163430620839.0,11992947.0,3.6,3.1,4.4,3.0,0.01966983,4.340704901547508,245564205976.0,8980.63005
227,ID_34NVKm,8055.549289,8064.398435,8055.549289,387230492.0,146535459399.0,5864113.0,3.6,2.6,3.0,3.1,0.0082209,0.1661621118211501,215491449804.0,8064.398435
228,ID_34QZjJ,9815.972541,9841.783315,9815.972541,635522780.0,179543354584.0,21532787.0,3.7,2.9,3.4,1.8,0.01262151,-2.9195619154403483,281568558393.0,9841.783315
229,ID_34QfTU,8424.455279,8447.952205,8424.455279,576157231.0,153643777250.0,10426102.0,3.6,1.4,4.3,3.7,0.01314655,1.5584557916623023,230922311663.0,8445.076034
230,ID_34SK9J,8140.310872,8210.434271,8140.310872,615540167.0,146697608399.8,10735022.0,3.7,2.7,4.1,3.3,0.02054882,2.943831597119522,221994516899.19,8171.219401
232,ID_34Tctj,9105.584096,9105.584096,9105.20488,624928987.0,167762879959.0,17566346.0,3.6,3.7,3.0,2.8,0.00574333,-0.2736013616090207,273427876706.0,9105.20488
236,ID_34VdQg,14587.224416,14701.469948,14587.224416,1672627559.0,271240958477.0,47007250.0,3.7,3.5,3.0,3.7,0.01949909,6.945728145890488,425466573160.0,14701.469948
239,ID_34Xao7,9948.92074,9953.339404,9948.92074,363105997.0,179236485266.15,3860272.0,3.7,1.0,4.0,1.0,0.00637298,-2.049398041890698,265843141059.93,9949.641
240,ID_34XiD8,8715.111458,8761.255666,8639.521008,3653656789.0,159404177093.0,26401276.0,3.7,4.3,3.0,3.0,0.02692356,-11.487768217694564,243403223665.0,8737.507246
242,ID_34Xwzr,8780.117187,8804.667942,8746.732111,1618151012.0,161846495791.0,14572937.0,3.6,3.0,4.3,3.1,0.02195182,-3.548556268831743,247141490252.0,8746.732111
244,ID_34YKdv,7296.284238,7296.404291,7296.284238,609430830.0,132189506417.0,5188535.0,3.6,2.6,3.0,3.2,0.00743622,0.3289345657452437,193330727042.0,7296.404291
